New ward code,Ward,childrenpoverty,householdsfuelpoor
E09000001,City of London,17.5,6.5
E05000026,Abbey,40.3,16.2
E05000027,Alibon,38.8,18.9
E05000028,Becontree,37.9,17.3
E05000029,Chadwell Heath,39.0,16.8
E05000030,Eastbrook,26.0,14.6
E05000031,Eastbury,36.4,17.2
E05000032,Gascoigne,46.9,18.1
E05000033,Goresbrook,36.6,17.8
E05000034,Heath,41.8,17.7
E05000035,Longbridge,20.4,14.3
E05000036,Mayesbrook,39.1,18.4
E05000037,Parsloes,35.9,18.4
E05000038,River,34.1,17.6
E05000039,Thames,40.2,16.1
E05000040,Valence,33.8,18.5
E05000041,Village,38.8,15.6
E05000042,Whalebone,30.3,15.0
E05000043,Brunswick Park,19.6,14.1
E05000044,Burnt Oak,39.5,14.3
E05000045,Childs Hill,24.7,12.0
E05000046,Colindale,42.3,13.1
E05000047,Coppetts,24.6,11.8
E05000048,East Barnet,20.4,12.3
E05000049,East Finchley,24.5,9.2
E05000050,Edgware,25.0,14.3
E05000051,Finchley Church End,11.6,10.3
E05000052,Garden Suburb,6.8,9.4
E05000053,Golders Green,19.5,11.8
E05000054,Hale,23.1,13.4
E05000055,Hendon,19.6,11.2
E05000056,High Barnet,11.5,11.4
E05000057,Mill Hill,23.9,12.5
E05000058,Oakleigh,20.3,12.1
E05000059,Totteridge,12.8,10.9
E05000060,Underhill,27.7,12.9
E05000061,West Finchley,15.7,10.2
E05000062,West Hendon,21.7,13.3
E05000063,Woodhouse,24.2,12.5
E05000064,Barnehurst,16.7,14.6
E05000065,Belvedere,27.6,13.1
E05000066,Blackfen and Lamorbey,10.3,15.3
E05000067,Blendon and Penhill,9.6,15.6
E05000068,Brampton,10.5,17.4
E05000069,Christchurch,14.7,14.5
E05000070,Colyers,27.8,14.9
E05000071,Crayford,22.6,13.0
E05000072,Cray Meadows,24.9,15.2
E05000073,Danson Park,14.1,15.6
E05000074,East Wickham,19.5,15.2
E05000075,Erith,27.6,12.9
E05000076,Falconwood and Welling,10.6,15.9
E05000077,Lesnes Abbey,23.2,14.7
E05000078,Longlands,10.7,12.9
E05000079,North End,36.3,12.9
E05000080,Northumberland Heath,17.1,16.1
E05000081,St Mary's,7.1,14.4
E05000082,St Michael's,13.1,16.7
E05000083,Sidcup,9.0,13.4
E05000084,Thamesmead East,30.7,8.0
E05000085,Alperton,23.8,14.4
E05000086,Barnhill,33.2,13.0
E05000087,Brondesbury Park,24.6,12.8
E05000088,Dollis Hill,37.3,14.5
E05000089,Dudden Hill,37.7,13.7
E05000090,Fryent,26.4,14.8
E05000091,Harlesden,43.2,17.2
E05000092,Kensal Green,31.1,16.4
E05000093,Kenton,16.9,13.2
E05000094,Kilburn,39.6,16.6
E05000095,Mapesbury,29.9,13.8
E05000096,Northwick Park,18.8,12.8
E05000097,Preston,30.5,13.0
E05000098,Queens Park,21.5,13.9
E05000099,Queensbury,28.0,15.5
E05000100,Stonebridge,48.2,14.7
E05000101,Sudbury,25.7,13.4
E05000102,Tokyngton,29.4,15.3
E05000103,Welsh Harp,34.0,14.4
E05000104,Wembley Central,24.9,15.2
E05000105,Willesden Green,38.1,16.0
E05000106,Bickley,8.4,12.0
E05000107,Biggin Hill,10.2,12.1
E05000108,Bromley Common and Keston,18.5,14.7
E05000109,Bromley Town,13.3,11.7
E05000110,Chelsfield and Pratts Bottom,7.6,13.5
E05000111,Chislehurst,10.1,13.1
E05000112,Clock House,13.6,12.2
E05000113,Copers Cope,18.1,8.9
E05000114,Cray Valley East,34.9,12.9
E05000115,Cray Valley West,31.6,13.8
E05000116,Crystal Palace,38.3,12.5
E05000117,Darwin,12.3,19.2
E05000118,Farnborough and Crofton,9.8,12.5
E05000119,Hayes and Coney Hall,6.5,15.2
E05000120,Kelsey and Eden Park,9.4,12.8
E05000121,Mottingham and Chislehurst North,34.8,14.3
E05000122,Orpington,22.4,13.8
E05000123,Penge and Cator,30.2,12.9
E05000124,Petts Wood and Knoll,5.8,14.4
E05000125,Plaistow and Sundridge,21.3,12.5
E05000126,Shortlands,7.2,11.1
E05000127,West Wickham,5.0,14.4
E05000128,Belsize,26.1,10.5
E05000129,Bloomsbury,32.2,13.0
E05000130,Camden Town with Primrose Hill,36.9,12.9
E05000131,Cantelowes,41.8,17.2
E05000132,Fortune Green,30.0,11.3
E05000133,Frognal and Fitzjohns,10.8,9.0
E05000134,Gospel Oak,41.8,14.4
E05000135,Hampstead Town,9.2,8.1
E05000136,Haverstock,49.6,14.9
E05000137,Highgate,30.0,13.5
E05000138,Holborn and Covent Garden,42.1,14.6
E05000139,Kentish Town,39.6,16.2
E05000140,Kilburn,49.2,14.2
E05000141,King's Cross,48.4,17.1
E05000142,Regent's Park,41.0,16.0
E05000143,St Pancras and Somers Town,53.4,16.1
E05000144,Swiss Cottage,32.2,9.5
E05000145,West Hampstead,37.7,11.6
E05000146,Addiscombe,24.5,12.5
E05000147,Ashburton,25.8,14.5
E05000148,Bensham Manor,28.4,16.2
E05000149,Broad Green,36.2,15.6
E05000150,Coulsdon East,16.1,13.8
E05000151,Coulsdon West,9.7,13.5
E05000152,Croham,17.4,12.0
E05000153,Fairfield,27.0,9.3
E05000154,Fieldway,44.5,15.4
E05000155,Heathfield,21.1,12.2
E05000156,Kenley,15.6,12.4
E05000157,New Addington,39.0,16.1
E05000158,Norbury,23.7,14.6
E05000159,Purley,15.5,12.6
E05000160,Sanderstead,10.0,13.9
E05000161,Selhurst,35.4,14.6
E05000162,Selsdon and Ballards,7.2,13.7
E05000163,Shirley,24.7,14.0
E05000164,South Norwood,31.7,12.6
E05000165,Thornton Heath,30.0,14.0
E05000166,Upper Norwood,28.2,13.4
E05000167,Waddon,30.3,12.8
E05000168,West Thornton,29.3,16.6
E05000169,Woodside,31.9,12.3
E05000170,Acton Central,34.9,12.4
E05000171,Cleveland,29.4,10.3
E05000172,Dormers Wells,36.1,13.8
E05000173,Ealing Broadway,14.3,8.0
E05000174,Ealing Common,22.5,9.3
E05000175,East Acton,40.0,13.3
E05000176,Elthorne,26.4,11.4
E05000177,Greenford Broadway,37.0,13.5
E05000178,Greenford Green,21.1,12.9
E05000179,Hanger Hill,17.6,8.8
E05000180,Hobbayne,26.4,12.5
E05000181,Lady Margaret,25.8,12.0
E05000182,Northfield,10.7,8.3
E05000183,North Greenford,21.4,13.5
E05000184,Northolt Mandeville,35.9,14.0
E05000185,Northolt West End,38.2,13.8
E05000186,Norwood Green,38.4,12.6
E05000187,Perivale,19.8,13.5
E05000188,South Acton,37.5,12.4
E05000189,Southall Broadway,29.0,12.8
E05000190,Southall Green,38.4,13.3
E05000191,Southfield,15.8,8.6
E05000192,Walpole,12.4,8.4
E05000193,Bowes,29.7,14.2
E05000194,Bush Hill Park,17.1,13.7
E05000195,Chase,32.4,14.0
E05000196,Cockfosters,19.8,13.5
E05000197,Edmonton Green,49.4,15.8
E05000198,Enfield Highway,44.0,15.4
E05000199,Enfield Lock,45.4,14.0
E05000200,Grange,11.7,12.6
E05000201,Haselbury,43.4,17.2
E05000202,Highlands,17.0,12.1
E05000203,Jubilee,39.8,15.3
E05000204,Lower Edmonton,45.2,16.6
E05000205,Palmers Green,26.3,14.6
E05000206,Ponders End,46.7,17.0
E05000207,Southbury,37.5,14.6
E05000208,Southgate,22.5,11.2
E05000209,Southgate Green,19.9,14.2
E05000210,Town,16.2,13.6
E05000211,Turkey Street,44.9,14.8
E05000212,Upper Edmonton,44.2,17.2
E05000213,Winchmore Hill,12.5,12.7
E05000214,Abbey Wood,36.4,15.7
E05000215,Blackheath Westcombe,16.3,10.7
E05000216,Charlton,33.9,13.8
E05000217,Coldharbour and New Eltham,22.1,15.7
E05000218,Eltham North,12.7,14.4
E05000219,Eltham South,26.4,15.5
E05000220,Eltham West,34.2,17.7
E05000221,Glyndon,38.5,16.0
E05000222,Greenwich West,34.2,12.0
E05000223,Kidbrooke with Hornfair,31.3,14.7
E05000224,Middle Park and Sutcliffe,34.6,16.1
E05000225,Peninsula,30.3,12.8
E05000226,Plumstead,31.4,16.5
E05000227,Shooters Hill,22.3,14.4
E05000228,Thamesmead Moorings,34.3,8.2
E05000229,Woolwich Common,43.1,16.7
E05000230,Woolwich Riverside,43.5,15.1
E05000231,Brownswood,39.4,14.1
